id,slug,name,description
391,enjoy-your-bone,Enjoy Your Bone,"🦴 Be Happy With What You Have. A dog finds a bone in a trash can. He grabs it and happily runs home. On the way, he passes a pond. In the water, he sees another dog with a bone.  He stops and thinks: Why is that bone so much bigger than mine? He barks and tries to steal the other dog's bone, dropping his bone in the water. Remember: Cherish what you have. If you don't, you may lose it."
392,same-page-safety,Same Page Safety,🤦
393,how-to-promise,How To Promise,"🤞Advice on how to make promises. Be stingy in making promises and generous in keeping them. For instance, only promise to do the dishes if you're definitely going to do them. Also, don’t feed yourself only on leftovers. When you say yes to others, make sure you're not saying no to yourself. Keep every promise. It makes you credible. To others and to yourself. --🤞 Don't Promise When You're Happy. When you're happy your feelings may be skewed. You may say ""yes"" to things you wouldn't promise if you weren't that happy. Ask yourself, if it was my average Tuesday, would I still be as excited to make this promise? [Question] When was the last time that you made a promise because you were in a great mood and later didn't ""feel"" like it anymore? [Notes] When you're happy, you may say ""yes"" without thinking and later you realize you can't do or don't want to do what you promised. Think carefully before you make a promise, especially when you're very happy. That way, you know you can keep it!"
394,go-all-in,Go All-In,"💯 Whatever You Do, Go All In. Once you decide to do something, give it your all. If you do that, no matter the outcome, you'll never have to wonder ""What if I had put in more effort?"" Remember: The more you lean in, the more you get out! Watch (first 3 min) Ben Zanders Really Leaning In https://youtu.be/r9LCwI5iErE&t=12s"
395,iteration-signal,Iteration Signal,"🪞A Way To Understand Yourself. Think about what irritates you in others. Often, these things have less to do with them and more to do with us. They highlight something about us that we’ve not yet explored. (Or we may want to explore deeper). Next time you're irritated, ask yourself: What feelings and emotions are being triggered? What needs of mine are not met?"
396,yield-gold-now,Yield Gold Now,"⭐️ No Matter Your Age, Your Golden Time Is Now -- You'll never be younger than you are right now. The greatest gift is the present. Cherish it. No one knows how much time they get. Treat every day as a special occasion, because it is. Imagine buying fine table wear and using it only once a year. After ten years, you'll have only used it ten times. Create more special occasions. Celebrate more often. Use your best china more often. Good things will yield golden memories, and bad things will yield golden lessons. So, yield gold now! --- Good things will yield golden memories and bad things will yield golden lessons. Wear your best shoes, use your best china or anything you save for special occasions as much you can."
397,bad-before-good,Bad Before Good,😶
398,dunning-kruger-effect,Dunning-Kruger Effect,"🥸 How To Beat Imposter Syndrome -- Beginners are often overconfident. They make a lot of progress fast. Expert's confidence often drops. They realise what they don't know yet. The more expert you become, the more you may feel like an imposter. Feeling like an imposter my therefore actually be a signal that you're ready. ---Understand the Dunning-Kruger Effect to Beat Imposter Syndrome"
399,seek-small-wins,Seek Small Wins,"🏆 Seek Small Wins Every Day -- We encounter small wins and small losses every day. For example, getting out of bed immediately instead of hitting snooze. Reacting with kindness instead of anger. Or getting back up to brush your teeth even if you're super exhausted. Turn the little things throughout your day into small wins rather than small losses."
400,hollywood-you,Hollywood You,"🎬 When In Doubt, Zoom Out -- We've seen the scene. It's clear what the main character should do: Drive to the airport and confess their love Have that hard conversation Or, grab that exciting opportunity The bird's-eye view offers a unique perspective. It lets you see the landscape around you and the bigger picture. You are the main character in your life. What would the audience (you) be screaming at you to do? Perspective is everything. What insight does the bird's-eye view provide that you're missing on the ground?"
401,reply-relaxed,Reply Relaxed,"📮 Don't Reply When You're Angry -- When you're angry, you may say things in the heat of the moment. Take a breather, go for a walk, or sleep on it. You won’t regret taking time to respond when you’re relaxed. The next time you're in a heated situation, how will you respond? What's your ""cool-down"" strategy?"
402,react-respond,~React~ Respond,🧘
403,add-yet,Add “Yet”,"❄️ One Word Makes Your Negative Thoughts Positive If you're learning a new skill and hit a roadblock, don't say, I can't do it. Say, I can't do it... yet! This tiny ""yet"" reminds you that struggles and obstacles are temporary. With effort and persistence, you can push through to better results and happier times. What's a thought you'd like to add a ""yet"" to? How does adding ""yet"" make you feel?"
404,experiences-not-things,"Experiences, Not Things","🧺 Collect Experiences, Not Things -- A picnic, a loved one, and a sky full of stars. Not lavish, priceless. You are the sum of your experiences. Seek out new ones. Create them, cherish them, and share them. Collect experiences, not things. [Question] When was the last time you had a priceless experience? And when was the last time you created one for someone else ----- How does it make you feel How does it make others feel Dream weaver Systematize things Just thoughtful Gift - saw , heard , recognized sb"
405,public-vs-private,Public vs Private,"🦉 There's a time and a place … Praise in public, critique in private. Remember, there’s a time and a place for everything. When in doubt, do it privately. — Critique in private, but praise in public. Only critique the behavior, not the person. Instead of criticism, offer feedback. Explain exactly what the person did and what you would have preferred."
